Statistics,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Dt_year,Dt_month,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Country_AUS,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US
count,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0,680.0
mean,1978.8367647058824,48151.93529411765,0.5808823529411765,0.31029411764705883,37.23235294117647,244.3235294117647,22.811764705882354,154.01911764705883,32.92058823529412,24.61764705882353,39.175,2.2308823529411765,3.5897058823529413,2.2529411764705882,5.251470588235295,5.65,0.09852941176470588,0.061764705882352944,0.08235294117647059,0.06470588235294118,0.010294117647058823,0.007352941176470588,2013.0176470588235,6.652941176470589,0.11323529411764706,0.03823529411764706,0.5161764705882353,0.15294117647058825,0.17941176470588235,0.0014705882352941176,0.0029411764705882353,0.07941176470588235,0.4117647058823529,0.23970588235294119,0.2529411764705882,0.008823529411764706,0.0029411764705882353,0.06911764705882353,0.11911764705882352,0.054411764705882354,0.07647058823529412,0.0029411764705882353,0.1411764705882353,0.4852941176470588,0.051470588235294115
std,6.011388416635521,33587.94938768136,0.5227539381065848,0.4755090926229637,22.050594127539018,324.5535164076361,38.815486370180736,244.09953169112615,51.998664758045436,40.21830319619771,49.98450680432168,1.9788094896801116,2.638373204865805,3.146518780868932,3.1877893248603053,2.4334136946132023,0.2982485185372564,0.240904904126129,0.2751040378757622,0.24618724741563938,0.10101065996378296,0.08549634425447784,0.6819665699248157,3.4878484866395985,0.31711345923485446,0.1919049621843037,0.5001061136640869,0.36019573644390823,0.3839791751262135,0.038348249442368525,0.054192664088686344,0.2705793835584965,0.49251523357785204,0.427218184637469,0.4350175078951931,0.0935871517270352,0.054192664088686344,0.25384080740791304,0.3241653394296398,0.2269953731236865,0.26594519630932784,0.054192664088686344,0.3484598108806988,0.50015158405684,0.2211182232374013
min,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1974.0,30075.5,0.0,0.0,18.0,11.0,2.0,12.0,3.0,2.0,7.75,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1978.0,42386.5,1.0,0.0,37.0,71.0,6.0,42.0,10.0,7.0,20.0,2.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1983.0,65337.75,1.0,1.0,56.0,380.25,22.25,168.5,39.0,28.0,47.0,3.0,5.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
max,1995.0,666666.0,2.0,2.0,77.0,1486.0,199.0,1725.0,258.0,263.0,362.0,15.0,27.0,28.0,13.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2014.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
