batch,f1_score,nb_lines,version,alcohol_mean,alcohol_std,chlorides_mean,chlorides_std,citric acid_mean,citric acid_std,density_mean,density_std,fixed acidity_mean,fixed acidity_std,free sulfur dioxide_mean,free sulfur dioxide_std,pH_mean,pH_std,quality_mean,quality_std,residual sugar_mean,residual sugar_std,sulphates_mean,sulphates_std,total sulfur dioxide_mean,total sulfur dioxide_std,volatile acidity_mean,volatile acidity_std,prediction_mean,prediction_std,col1,pvalue1,col2,pvalue2,col3,pvalue3,col4,pvalue4,col5,pvalue5
0,0.75,500,_0,10.1208,0.9996629492104068,0.0939619999999999,0.0602395398415413,0.30246,0.2165685856827098,0.9974198,0.0016868577112121,8.686399999999999,1.883930313693611,15.041,9.7836731097803,3.29286,0.1551236509826544,0.488,0.5003565862730835,2.5868,1.3822289512767032,0.69732,0.2123483016235468,51.444,33.71694720846055,0.5333700000000001,0.1761694196756568,,,,,,,,,,,,
1,0.89,550,_0,10.378,1.084452274050766,0.09046,0.0239201136438498,0.4502,0.1548862650529117,0.998474,0.0013431321906769,10.036,1.6250287281605025,16.62,12.74537130867196,3.2206,0.1297786184081121,0.64,0.4848732213850611,2.8870000000000005,1.3094557990997324,0.735,0.1400619396509112,48.14,35.74570617856195,0.4513000000000001,0.1480306435457585,0.7599999904632568,0.4314191043376922,fixed acidity,2.4879091009566423e-09,citric acid,3.043056562290758e-08,density,6.264221777518841e-06,sulphates,0.001924104443511,pH,0.0021313086538262
2,0.8,600,_0,10.338,1.105254610984293,0.0931,0.0386460917579419,0.4144,0.1321125061669571,0.998551,0.0024196367158593,10.14,2.517449308408843,14.46,10.218450699292802,3.2334,0.179768672215723,0.56,0.501426536422407,2.8440000000000003,1.0644841617479543,0.6288,0.1148493245384524,47.16,34.55097387800187,0.4917000000000001,0.1491869461379218,0.6399999856948853,0.4848732352256775,citric acid,4.349033436712446e-07,density,2.3101430915994925e-06,fixed acidity,3.336679912779861e-05,residual sugar,0.0061308410248769,pH,0.0318153786354289
3,0.54,650,_0,14.866,2.7600362316462443,0.0878199999999999,0.0202994822493539,0.289,0.1709427640218461,0.998116,0.0016212064039108,9.046,1.583874093120139,15.06,9.042778153570609,3.2924,0.1414438664168184,0.4,0.4948716593053935,2.886,1.298037765558586,0.2126,0.2461276423454517,-33.272,65.81888582019788,0.5734,0.1788866931316911,0.4199999868869781,0.4985693693161011,alcohol,6.661338147750939e-16,sulphates,6.661338147750939e-16,total sulfur dioxide,6.661338147750939e-16,residual sugar,0.0002494455868329,fixed acidity,0.0598565138296399
4,0.5,700,_0,14.53,2.6781999742440474,0.0892,0.0553253825941011,0.2962,0.1785987407684657,0.997872,0.001419979879133,9.169999999999998,1.9161238509670764,14.04,9.913832842682645,3.2370000000000005,0.2006748817447398,0.32,0.4712120714991612,2.364,0.9738436366128952,0.1838,0.2323253348743735,-12.188,71.45523113910455,0.5731999999999999,0.2191327060416652,0.4000000059604645,0.4948716759681701,sulphates,1.396325878521046e-30,alcohol,9.171064791281404e-23,total sulfur dioxide,3.71147995255526e-19,target,0.0149737181565494,density,0.0218595947123422
5,0.41,750,_0,14.578,2.8165176066503523,0.08606,0.0449613938704697,0.1989999999999999,0.173772664062879,0.9977022,0.0011976768157988,8.18,1.2172233373794736,14.6,7.655863432556722,3.3324000000000007,0.1483454325112127,0.28,0.4535573676110727,2.5860000000000003,0.7289242843018044,0.181,0.1987845721439392,-28.394,71.96091175359136,0.6154,0.2063503064683739,0.3000000119209289,0.4629100561141968,alcohol,0.0,sulphates,0.0,total sulfur dioxide,0.0,citric acid,0.0002378188891537,target,0.0048775775129541
6,0.31,800,_0,14.856000000000002,2.899061072492406,0.10302,0.059958315451959905,0.1886,0.15914324185642137,0.9974242,0.0010423366411430564,8.335999999999999,1.1059689629183884,13.95,7.543242684951985,3.3209999999999997,0.14783126067463898,0.42,0.4985693819032899,2.452,0.4581417657789131,0.14780000000000001,0.18786979859596858,-23.863999999999997,71.13409228853831,0.6003000000000001,0.16637310541094566,0.10000000149011612,0.30304577946662903,alcohol,5.551115123125783e-16,sulphates,5.551115123125783e-16,total sulfur dioxide,5.551115123125783e-16,citric acid,0.00011184584479106974,fixed acidity,0.01222901911541252
